title,popularity,vote_count,vote_average,genre,release_year
Demonic,192.391,109,4.8,"Horror, Thriller",2021
Far From the Tree,192.331,194,8.1,"Animation, Family",2021
Black Water: Abyss,191.722,312,5.1,"Horror, Thriller, Adventure, Mystery",2020
"Yes, No, or Maybe Half?",191.592,17,6.7,"Animation, Drama, Romance",2020
The SpongeBob Movie: Sponge on the Run,191.122,2436,7.6,"Family, Animation, Fantasy, Adventure, Comedy",2020
Spider-Man: Into the Spider-Verse,190.775,10951,8.4,"Action, Adventure, Animation, Science Fiction",2018
Harry Potter and the Prisoner of Azkaban,189.771,17607,8,"Adventure, Fantasy",2004
The Vault,189.579,555,7.1,"Crime, Action, Thriller",2021
The Adam Project,189.245,2,6,"Science Fiction, Adventure, Comedy",2022
Deadpool,189.206,26390,7.6,"Action, Adventure, Comedy",2016
The Harder They Fall,188.865,611,6.7,Western,2021
"Monsters, Inc.",188.759,15255,7.8,"Animation, Comedy, Family",2001
Ainbo: Spirit of the Amazon,188.484,285,7.1,"Adventure, Animation, Family, Fantasy",2021
Don't Look Up,188.404,4819,7.2,"Comedy, Drama, Science Fiction",2021
Cars 3,186.621,4416,6.8,"Animation, Adventure, Comedy, Family",2017
Spider-Man 3,186.125,11340,6.3,"Fantasy, Action, Adventure",2007
Last Shoot Out,185.045,92,6.4,"Western, Action, Thriller",2021
Sator,184.487,66,5.4,Horror,2019
Iron Man 2,183.136,17594,6.8,"Adventure, Action, Science Fiction",2010
Soul,182.718,7736,8.2,"Animation, Comedy, Fantasy, Family",2020
Pirates of the Caribbean: On Stranger Tides,182.133,11712,6.5,"Adventure, Action, Fantasy",2011
Phobias,181.527,27,5.4,"Horror, Thriller",2021
A Quiet Place Part II,181.389,3997,7.6,"Science Fiction, Thriller, Horror",2021
What the Peeper Saw,181.317,19,5.7,"Horror, Drama, Thriller",1972
Fast & Furious 10,181.216,0,0,"Action, Crime",2023
The Dark Knight Rises,179.587,19126,7.8,"Action, Crime, Drama, Thriller",2012
Trolls Holiday in Harmony,179.019,102,7.6,"Animation, Fantasy, Family",2021
Batman v Superman: Dawn of Justice,178.212,15596,5.9,"Action, Adventure, Fantasy",2016
Motherly,176.378,95,7.2,"Thriller, Horror",2021
Nobody,175.065,4292,8.2,"Action, Crime, Thriller",2021
My Hero Academia: Two Heroes,174.756,743,8,"Animation, Action, Adventure, Fantasy",2018
Harry Potter and the Half-Blood Prince,174.697,15861,7.7,"Adventure, Fantasy",2009
Book of Love,174.481,20,5.3,"Comedy, Romance",2022
Jurassic Hunt,174.421,180,5,"Action, Science Fiction, Thriller",2021
American Underdog,173.962,54,7.2,Drama,2021
The Dark Knight,173.923,26994,8.5,"Drama, Action, Crime, Thriller",2008
Jujutsu Kaisen 0,173.575,21,7.8,"Animation, Action, Adventure, Mystery",2021
Ava,173.205,1917,5.7,"Action, Crime, Drama, Thriller",2020
Three Steps Above Heaven,172.85,2394,7.8,"Romance, Drama",2010
Sinkhole,172.571,36,7.1,"Comedy, Drama",2021
Undisputed III: Redemption,172.362,604,7.5,"Action, Thriller",2010
Toy Story,171.714,15127,8,"Animation, Adventure, Family, Comedy",1995
Roald Dahl's The Witches,171.361,2092,6.5,"Family, Fantasy, Adventure, Comedy, Horror",2020
El Paseo 6,170.869,5,3.5,Comedy,2021
Separation,170.565,127,5.7,"Horror, Drama",2021
Dragon Ball Super: Super Hero,170.551,0,0,"Animation, Science Fiction, Action",2022
After Ever Happy,169.964,0,0,Romance,2022
Brothers,169.495,2085,7.1,"Drama, Thriller, War",2009
Shrek,169.438,13610,7.7,"Animation, Comedy, Fantasy, Adventure, Family",2001
Jackass Forever,169.376,49,7.1,"Action, Comedy, Documentary",2022
Big Hero 6,169.209,13447,7.8,"Adventure, Family, Animation, Action, Comedy",2014
Monster Pets: A Hotel Transylvania Short,169.005,295,7.5,"Animation, Comedy, Fantasy",2021
Off Course,168.353,254,6.2,"Romance, Comedy",2015
