title,popularity,vote_count,vote_average,genre,release_year
The Possession of Michael King,19.281,292,6,Horror,2014
Ibiza,19.28,1067,5.8,"Comedy, Romance",2018
Safe House,19.28,2917,6.4,"Action, Thriller",2012
Love Hard,19.278,1001,7.1,"Comedy, Romance",2021
The Informer,19.277,557,6.5,"Drama, Crime, Thriller",2019
Passengers,19.275,676,6.1,"Drama, Mystery, Thriller, Romance",2008
Match Point,19.274,3341,7.3,"Drama, Thriller, Crime, Romance",2005
Dorian Gray,19.273,1778,6,"Fantasy, Drama, Thriller",2009
I Spit on Your Grave: Déjà Vu,19.271,66,2.9,"Horror, Thriller",2019
Next Friday,19.269,427,6.4,Comedy,2000
Little Witch Academia: The Enchanted Parade,19.266,76,7.3,"Action, Animation, Fantasy, Comedy",2015
Jarhead 2: Field of Fire,19.266,215,6.4,"War, Action",2014
What Lies Beneath,19.266,1414,6.4,"Drama, Horror, Mystery, Thriller",2000
48 Hrs.,19.266,1094,6.7,"Thriller, Action, Comedy, Crime, Drama",1982
Primal Rage,19.261,91,5.4,Horror,2018
Short Circuit,19.261,1135,6.6,"Comedy, Family, Science Fiction",1986
The Midnight Man,19.26,349,5.7,Horror,2016
Expelled from Paradise,19.251,54,6.5,"Action, Animation, Science Fiction",2014
Dominion: Prequel to The Exorcist,19.249,241,5.3,"Horror, Drama",2005
Suspiria,19.248,2216,7.5,Horror,1977
Deception,19.247,516,5.9,Thriller,2008
Cinderella Man,19.246,1728,7.5,"Romance, Drama, History",2005
Rogue,19.242,548,5.6,"Action, Adventure",2020
Infernal Affairs III,19.242,194,6.9,"Crime, Drama, Action",2003
Exorcist: The Beginning,19.241,578,5.3,"Horror, Mystery, Thriller",2004
The Crime of Padre Amaro,19.238,200,6.5,"Drama, Romance",2002
Palm Trees in the Snow,19.23,462,7.4,"Drama, History, Romance",2015
Fantasia 2000,19.229,1009,7,"Animation, Family, Music",1999
Revolver,19.227,1022,6.4,"Drama, Thriller, Crime, Mystery",2005
Weaponized,19.225,28,3.8,"Thriller, Action, Science Fiction",2016
Hope,19.225,324,8.5,Drama,2013
Tomb Invader,19.224,46,4.2,"Action, Adventure, TV Movie",2018
Tinker Tailor Soldier Spy,19.22,2069,6.6,"Drama, Thriller, Mystery",2011
The Rocky Horror Picture Show,19.219,2191,7.5,"Comedy, Science Fiction, Fantasy, Horror",1975
Spy Game,19.217,1617,6.9,"Action, Crime, Thriller",2001
The Stranger by the Shore,19.216,38,7.5,"Animation, Romance, Drama",2020
Studio 666,19.215,6,6.6,"Horror, Comedy, Music",2022
Fritz the Cat,19.215,227,6.1,"Animation, Comedy, Drama",1972
Edge of the World,19.214,30,5.7,"Adventure, Drama, History",2021
School Life,14.842,570,7,"Drama, Comedy",2019
The Girl From the Other Side,19.212,0,0,"Animation, Drama, Mystery, Fantasy",2022
Travis Scott: Look Mom I Can Fly,19.212,175,7,"Documentary, Music",2019
The Ghost of Lord Farquaad,19.205,189,5.9,"Fantasy, Animation, Comedy, Family, Adventure",2003
Kelly's Heroes,19.201,524,7.4,"Adventure, Comedy, War",1970
My Girl,19.2,1639,7.4,"Comedy, Drama",1991
The Break-Up,19.199,2224,5.8,"Romance, Comedy",2006
The Final Wish,19.195,107,5.2,Horror,2019
Upside Down,19.191,2146,6.2,"Romance, Science Fiction, Drama, Fantasy",2012
Terminal,19.186,622,5.5,"Crime, Drama, Thriller",2018
Dead Snow 2: Red vs. Dead,19.184,476,6.6,"Horror, Action, Comedy",2014
Into the Labyrinth,19.181,357,6.4,"Thriller, Mystery",2019
The Secret Garden,19.18,451,6.4,"Family, Fantasy, Drama",2020
SPL: Kill Zone,19.18,210,6.9,"Action, Crime, Drama, Thriller",2005
The Family Man,19.18,1500,6.7,"Comedy, Drama, Romance, Fantasy",2000
Cop Land,19.173,1127,6.8,"Action, Crime, Drama",1997
Bushwhacked,19.169,93,5.3,"Adventure, Family, Comedy",1995
The Yin-Yang Master: Dream of Eternity,19.168,116,7.7,"Action, Drama, Fantasy, Mystery, Science Fiction",2020
The Trust,19.168,365,5,"Crime, Thriller",2016
Force of Execution,19.167,63,4.8,"Action, Crime",2013
Ghost in the Shell Arise - Border 2: Ghost Whispers,19.165,97,7.1,"Action, Animation, Science Fiction, Thriller",2013
Problem Child 2,19.161,459,5.9,Comedy,1991
Sudden Impact,19.16,639,6.5,"Crime, Action, Thriller",1983
Gold,19.156,1307,6.6,"Adventure, Drama, Thriller",2016
The Vikings,19.156,220,7.1,"Action, Adventure, History",1958
The Life Aquatic with Steve Zissou,19.154,2199,7.2,"Adventure, Comedy, Drama",2004
Pooh's Grand Adventure: The Search for Christopher Robin,19.149,262,7.1,"Animation, Family, Adventure",1997
The Water Man,19.141,188,6.3,Adventure,2020
Aloha,19.14,1733,5.5,"Drama, Comedy, Romance",2015
The Snowman,19.139,1859,5.2,"Crime, Thriller, Horror",2017
The Woman in Black,19.138,2961,6.1,"Drama, Horror, Thriller",2012
Untold: Crimes & Penalties,19.134,19,6.8,"Documentary, Crime",2021
Moulin Rouge!,19.134,3752,7.6,"Drama, Romance, Music",2001
Brimstone,19.13,834,7.1,"Western, Mystery, Thriller, Drama",2016
Golden Job,19.128,59,6.4,"Action, Adventure, Crime",2018
Teen Wolf Too,19.128,145,4.1,"Comedy, Fantasy, Family",1987
Ms. Kristina Moran: Ang Babaeng Palaban,19.126,0,0,"Comedy, Romance",1999
Alien Overlords,19.124,10,4.1,"Action, Science Fiction, Drama, Horror",2018
Here Comes the Boom,19.123,1188,6.2,"Comedy, Action",2012
Missing in Action,19.121,342,5.7,"Action, Adventure, Thriller, War",1984
The Men Who Stare at Goats,19.121,1806,6,"Comedy, War",2009
The Day of the Jackal,19.12,391,7.6,"Action, Thriller",1973
Joe Bell,19.118,58,5.8,"Drama, Adventure",2021
Twin Peaks: Fire Walk with Me,19.115,1444,7.3,"Drama, Mystery, Horror",1992
The Disappearance of Haruhi Suzumiya,19.11,157,7.7,"Comedy, Science Fiction, Mystery, Animation, Drama",2010
The Bounty Hunter,19.11,2363,5.8,"Comedy, Action, Drama",2010
Billy Elliot,19.104,3152,7.6,"Drama, Comedy, Music",2000
The Heartbreak Kid,19.102,1292,5.7,"Comedy, Romance",2007
Insomnia,19.097,3670,6.9,"Crime, Mystery, Thriller",2002
Rounders,19.092,1330,7,"Drama, Crime",1998
Benji,19.089,243,7,"Crime, Drama",2018
K-PAX,19.089,1831,7.2,"Science Fiction, Drama",2001
Trash,19.086,501,7.1,"Adventure, Crime, Drama, Thriller",2014
Crimson Rivers II: Angels of the Apocalypse,19.085,552,6.1,"Action, Thriller, Crime",2004
Along Came a Spider,19.085,1406,6.3,"Crime, Mystery, Thriller, Action",2001
Superman II: The Richard Donner Cut,19.084,174,7.5,"Science Fiction, Action, Adventure",2006
Pain and Glory,19.08,1438,7.5,Drama,2019
Puppylove,19.08,24,5.8,"Romance, Drama",2013
Tom and Jerry & The Wizard of Oz,19.076,75,6,"Family, Animation, Comedy, Fantasy",2011
The Scorpion King 4: Quest for Power,19.074,157,5.1,"Action, Adventure, Fantasy",2015
All the President's Men,19.071,1366,7.7,"Drama, History, Mystery, Thriller",1976
StreetDance 2,19.07,327,6.1,"Music, Romance, Drama",2012
Seven Psychopaths,19.065,3121,6.8,"Comedy, Crime",2012
Tales from Earthsea,19.064,1012,6.6,"Animation, Fantasy, Adventure",2006
Law of Desire,19.063,192,7.3,"Comedy, Drama, Thriller",1987
Prospect,19.061,552,6.1,Science Fiction,2018
Flight of the Phoenix,19.057,674,6,"Action, Adventure, Drama, Thriller",2004
Downrange,19.056,229,5.8,"Thriller, Horror",2018
One Direction: This Is Us,19.054,885,8.5,"Documentary, Music",2013
The Fanatic,19.053,200,4.5,"Crime, Thriller",2019
Christmas with the Kranks,19.051,848,6.1,"Comedy, Family",2004
Batman & Mr. Freeze: SubZero,19.05,314,7,"Animation, Action, Crime, Family",1998
Quarantine 2: Terminal,19.049,430,5.7,"Horror, Mystery, Science Fiction",2011
The Virgin Suicides,19.043,2435,7.1,"Drama, Romance",1999
Batman Unlimited: Animal Instincts,19.042,119,5.7,"Action, Animation, Family",2015
Extraterrestrial,19.042,393,5.5,"Horror, Science Fiction",2014
All About My Mother,19.042,1409,7.7,"Comedy, Drama",1999
Beyond the Boundary: I'll Be Here – Future,19.041,62,7.5,"Animation, Action, Fantasy, Drama, Comedy",2015
Armored,19.039,512,5.7,"Action, Crime, Drama, Thriller, Mystery",2009
The Women and the Murderer,19.037,18,6,"Documentary, Crime",2021
Welcome to Sudden Death,19.037,231,6.3,Action,2020
Blue Is the Warmest Color,19.035,3787,7.1,"Romance, Drama",2013
A Nightmare on Elm Street: The Dream Child,19.03,901,5.4,"Horror, Thriller",1989
Miss Willoughby and the Haunted Bookshop,19.028,5,4.4,"Mystery, Crime",2022
Battle for the Planet of the Apes,19.026,648,5.7,"Action, Science Fiction",1973
Beauty and the Beast,19.024,449,7.5,"Drama, Fantasy, Romance",1946
Heidi,19.023,316,7.1,"Adventure, Family",2015
Christiane F.,19.022,1019,7.3,Drama,1981
Beneath,19.02,119,5.4,Horror,2013
Wild Tales,19.015,2574,7.8,"Drama, Thriller, Comedy",2014
The Girl in the Spider's Web,19.014,1069,6.1,"Action, Crime, Thriller, Drama",2018
Salon Kitty,19.014,84,5.4,"Drama, War",1976
You've Got Mail,19.012,2597,6.6,"Comedy, Romance",1998
Monster High: Freaky Fusion,19.009,82,7.7,Animation,2014
Farewell My Concubine,19.009,353,7.9,Drama,1993
The Sting,19.009,1932,8,"Comedy, Crime, Drama",1973
The Elephant Man,19.009,2605,8.1,"Drama, History",1980
The Longest Day,19,721,7.6,War,1962
Fried Green Tomatoes,18.993,1033,7.7,"Drama, Comedy",1991
A River Runs Through It,18.993,783,7.1,"Drama, Family",1992
Sorry Angel,18.992,180,6.9,Drama,2018
Coneheads,18.99,710,5.3,"Comedy, Science Fiction, Family",1993
The Reaping,18.99,636,5.7,Horror,2007
Master and Commander: The Far Side of the World,18.989,2408,7.1,"Adventure, Drama, War",2003
After the Ball,18.985,232,6.4,Comedy,2015
1987: When the Day Comes,18.978,95,8,"Drama, History, Thriller",2017
The Thirteenth Floor,18.975,980,7,"Thriller, Science Fiction, Mystery",1999
Never Cry Werewolf,18.972,73,5.7,Horror,2008
My Neighbors the Yamadas,18.972,353,6.9,"Animation, Family",1999
Frailty,18.97,879,7,"Drama, Thriller, Crime",2001
Bone Tomahawk,18.965,1601,6.8,"Western, Horror",2015
Camp Rock,18.961,1832,6.4,"Family, Music, Comedy, Drama, TV Movie, Romance",2008
Marvel One-Shot: All Hail the King,18.96,338,6.9,"Action, Comedy, Fantasy, Thriller",2014
The 6th Day,18.956,1573,5.9,"Science Fiction, Mystery, Action",2000
The Town that Dreaded Sundown,18.955,341,5.8,"Thriller, Horror",2014
Marvel One-Shot: Item 47,18.95,347,6.5,"Science Fiction, Action, Fantasy",2012
The Wedding Veil Legacy,18.948,6,5.8,"TV Movie, Comedy, Romance",2022
Nutty Professor II: The Klumps,18.948,1036,5,"Fantasy, Comedy, Romance, Science Fiction",2000
Old Henry,18.946,138,7.4,"Western, Thriller",2021
Unlocked,18.946,869,6.2,"Action, Thriller",2017
Fantomas Unleashed,18.946,378,6.7,"Comedy, Crime, Adventure, Fantasy",1965
Little,18.936,542,6.8,"Comedy, Fantasy, Romance",2019
The Captive,18.935,907,5.9,"Drama, Thriller, Crime",2014
Playmobil: The Movie,18.932,200,5.7,"Family, Animation, Comedy, Adventure",2019
The Recall,18.926,293,4.6,"Science Fiction, Horror",2017
Barely Lethal,18.924,888,5.8,"Adventure, Comedy, Action, Romance",2015
Love the Coopers,18.921,655,6,"Comedy, Family, Drama",2015
Alpha and Omega,18.921,410,5.9,"Animation, Family, Comedy, Adventure, Romance",2010
The Lost Boys,18.92,1493,7,"Horror, Comedy",1987
Misha and the Wolves,18.918,17,7.2,Documentary,2021
Cockneys vs Zombies,18.918,313,5.7,"Comedy, Horror",2012
The Stolen Princess,18.915,94,6.8,"Animation, Comedy, Adventure, Family",2018
Don't Hang Up,18.913,394,6.1,"Horror, Thriller",2016
Stealth,18.911,775,5.3,"Science Fiction, Action, War",2005
Argo,18.91,6981,7.3,"Drama, Thriller",2012
2010,18.91,715,6.7,"Thriller, Science Fiction",1984
Iron Man: Rise of Technovore,18.908,130,5.8,"Science Fiction, Animation, Action",2013
Harmony,18.905,56,7.1,"Thriller, Animation, Science Fiction",2015
Allan Quatermain and the Lost City of Gold,18.898,198,4.8,"Adventure, Action, Comedy",1986
Jackie Brown,18.897,5146,7.3,"Crime, Thriller, Drama",1997
"Monster High: Frights, Camera, Action!",18.896,91,7.1,"Family, Animation, Fantasy",2014
The Maltese Falcon,18.893,1223,7.8,"Mystery, Crime, Thriller",1941
Run Lola Run,18.89,1674,7.3,"Action, Drama, Thriller",1998
This Little Love of Mine,18.889,90,6.3,"Romance, Comedy",2021
Sleeping Beauties,18.887,10,3.9,"Fantasy, Comedy",2017
The Punisher,18.882,422,5.7,"Action, Thriller",1989
In the Name of the Father,18.88,1321,7.9,Drama,1993
Misbehaviour,18.877,184,6.4,"Drama, History, Comedy",2020
Ken Park,18.876,392,5.8,Drama,2002
Love,18.875,1891,6.4,"Drama, Romance",2015
Runaway Bride,18.875,1597,6.1,"Comedy, Romance",1999
Miami Vice,18.873,1332,5.9,"Action, Crime, Thriller",2006
Rust Creek,18.864,215,6.4,"Thriller, Drama",2019
Criminal Activities,18.861,245,5.9,"Thriller, Crime, Drama",2015
Fir Crazy,18.858,54,5.9,"Comedy, Romance, TV Movie",2013
Bratz,18.858,349,5.7,"Comedy, Music",2007
Lamb,18.849,43,6.3,Drama,2016
Romeo Must Die,18.847,900,6.2,"Action, Crime, Thriller",2000
Metropolis,18.847,1999,8.2,"Drama, Science Fiction",1927
Drunk Parents,18.842,192,4.7,Comedy,2019
The Ruins,18.842,851,5.9,Horror,2008
Just Married,18.841,1086,5.7,"Comedy, Romance",2003
Next Gen,18.839,586,7,"Animation, Action, Adventure, Family",2018
13 Sins,18.839,865,6.3,"Horror, Thriller",2014
The Lighthouse of the Orcas,18.838,179,7,"Drama, Romance",2016
Police Story: Lockdown,18.835,250,6,"Action, Crime, Drama, Thriller",2013
Cube,18.834,3704,6.8,"Thriller, Science Fiction, Mystery",1997
8MM,18.833,1483,6.4,"Thriller, Crime, Mystery",1999
Mr. Brooks,18.825,1346,6.9,"Crime, Thriller",2007
My Friend's Wife,18.824,4,6.3,Romance,2015
The Unbearable Lightness of Being,18.824,320,7.1,"Comedy, Romance, Drama",1988
Waves,18.823,409,7.5,"Romance, Drama",2019
Grabbers,18.815,334,6.1,"Science Fiction, Comedy, Thriller, Horror, Mystery",2012
Chaos,18.815,787,6.3,"Drama, Action, Crime",2005
Puella Magi Madoka Magica the Movie Part III: Rebellion,18.811,131,7.7,"Mystery, Animation, Fantasy",2013
After the Rain,18.808,28,7.6,"Romance, Drama",2018
Denial,18.808,521,6.8,"Drama, History",2016
Perras,18.806,142,6.8,"Thriller, Drama, Romance",2011
S. Darko,18.804,375,4.3,"Thriller, Crime, Science Fiction, Mystery",2009
The Crow: Salvation,18.804,241,5.4,"Action, Thriller, Crime, Fantasy, Mystery",2000
Romancing the Stone,18.804,1386,6.7,"Adventure, Action, Comedy, Romance",1984
Velvet Buzzsaw,18.803,1594,5.3,"Thriller, Mystery, Horror",2019
Sissi: The Young Empress,18.802,271,7.2,"Drama, Comedy, Romance",1956
Get Shorty,18.801,773,6.5,"Comedy, Thriller, Crime",1995
The Forgotten,18.8,904,5.9,"Thriller, Drama, Horror, Mystery, Science Fiction",2004
Love Hurts,18.799,187,7.6,"Drama, Romance",2002
Certain Women,18.798,247,5.9,Drama,2016
Exit Wounds,18.79,344,5.6,"Action, Crime, Thriller",2001
Monster High: Ghouls Rule,18.789,77,6.7,"Animation, Family",2012
High Plains Drifter,18.785,798,7.4,"Western, Drama, Mystery",1973
The Shaggy Dog,18.784,465,4.9,"Comedy, Family",2006
The Game,18.784,4915,7.6,"Drama, Thriller, Mystery",1997
Burnt,18.777,2738,6.5,Drama,2015
All Dogs Go to Heaven,18.777,807,6.7,"Drama, Animation, Family, Comedy, Fantasy",1989
Careful What You Wish For,18.774,327,6.1,"Drama, Thriller",2015
Pray Away,18.773,43,7,Documentary,2021
Harry and the Hendersons,18.772,541,6.1,"Comedy, Family, Fantasy",1987
Lupin the Third: Goemon's Blood Spray,18.77,94,7.9,"Animation, Action, Crime",2017
Shortbus,18.77,368,6.4,"Romance, Drama, Comedy",2006
Evil,18.763,241,7.3,Drama,2003
Ringu,18.762,979,7.1,"Horror, Thriller",1998
Time to Hunt,18.76,214,7.2,"Drama, Action, Thriller",2020
Hotel Chevalier,18.756,655,7,"Drama, Romance",2007
Swat: Unit 887,18.754,16,5,"Thriller, Action",2015
"It''s a Mad, Mad, Mad, Mad World",18.752,407,7,"Action, Adventure, Comedy, Crime",1963
Muppets Most Wanted,18.751,676,6.3,"Comedy, Adventure, Crime, Family",2014
Psycho,18.749,776,5.1,"Mystery, Thriller, Horror",1998
Cold Mountain,18.746,1401,6.9,"Adventure, Drama, History, Romance",2003
Jackass Shark Week,18.741,4,5.5,"Comedy, Action, Documentary",2021
The Haunting in Connecticut,18.74,892,6.2,"Thriller, Horror",2009
Firestarter,18.739,490,6.2,"Horror, Thriller, Science Fiction",1984
Green Street Hooligans: Underground,18.737,113,5.3,"Action, Drama",2013
Iblis Dalam Kandungan,18.733,0,0,Horror,2022
Bullet to the Head,18.732,1007,5.5,"Action, Crime, Thriller",2013
Mickey's Once Upon a Christmas,18.726,513,7.1,"Animation, Family, Comedy",1999
Words on Bathroom Walls,18.725,397,8,"Drama, Romance",2020
Awakenings,18.725,1844,7.8,Drama,1990
August Rush,18.725,2316,7.4,"Family, Drama, Music",2007
The Third Man,18.725,1339,8,"Thriller, Mystery",1949
Batman vs. Two-Face,18.724,130,6.4,"Action, Animation, Comedy",2017
Motherless Brooklyn,18.723,1099,6.7,"Drama, Thriller",2019
Reign of Fire,18.723,1749,6.1,"Adventure, Action, Fantasy",2002
Adventures in Babysitting,18.722,491,6.8,Comedy,1987
Zombies,18.721,31,5.6,"Horror, Action, Thriller, Mystery",2017
Felon,18.721,646,7.2,"Action, Crime, Drama, Mystery",2008
The Whole Truth,18.716,902,6.5,"Drama, Thriller",2016
Playing with Love,18.716,47,5.1,Drama,1977
Mortal Kombat: Rebirth,18.715,103,6.7,"Action, Fantasy",2010
The Beach,18.713,3551,6.4,"Drama, Adventure, Romance, Thriller",2000
Almost Famous,18.712,2110,7.5,"Drama, Music",2000
Clouds,18.71,802,8.4,"Music, Drama, Romance",2020
Scooby-Doo! Frankencreepy,18.709,142,7.7,"Mystery, Animation, Family, Comedy",2014
My Own Private Idaho,18.708,866,7.1,"Drama, Adventure",1991
Nothing but Trouble,18.707,256,5.2,"Comedy, Adventure",1991
Get the Grift,18.706,70,6.6,"Comedy, Crime",2021
Dance of the Forty One,18.704,138,8,"Drama, History",2020
Tully,18.704,1167,6.8,"Comedy, Drama",2018
Another Earth,18.702,1290,6.7,"Drama, Science Fiction",2011
Frankenstein,18.702,1110,7.5,"Drama, Horror, Science Fiction",1931
Dogville,18.701,1892,7.8,"Crime, Drama, Thriller",2003
The Fly II,18.7,455,5.5,"Horror, Science Fiction, Thriller",1989
Petals on the Wind,18.694,171,6.4,"TV Movie, Romance, Thriller",2014
Boat Trip,18.694,502,5.3,Comedy,2002
Visitor Q,18.694,316,6.4,"Comedy, Drama, Horror, Thriller",2001
Fire with Fire,18.69,558,5.7,"Action, Crime, Drama, Thriller",2012
Boy Missing,18.683,216,6.4,"Mystery, Thriller",2016
1492: Conquest of Paradise,18.683,605,6.1,"Action, Adventure, Drama, History",1992
Of Gods and Men,18.682,280,6.7,"Drama, History",2010
The Seven Deadly Sins: Prisoners of the Sky,18.677,886,7.6,"Action, Adventure, Fantasy, Animation",2018
The Blob,18.675,620,6.7,"Horror, Science Fiction",1988
Assimilate,18.671,195,6.5,"Horror, Thriller, Science Fiction",2019
Intimacy,18.669,414,6.4,"Romance, Drama",2001
The Chorus,18.663,1937,7.7,Drama,2004
Battleship Potemkin,18.663,840,7.7,"Drama, History",1925
The Great Debaters,18.662,439,7.2,Drama,2007
The Skeleton Key,18.661,1630,6.6,"Drama, Horror, Mystery, Thriller",2005
A Night at the Roxbury,18.66,678,6.6,"Comedy, Music, Romance",1998
Climax,18.657,1518,7.1,"Drama, Horror, Music",2018
Paperhouse,18.656,98,6.8,"Drama, Fantasy, Horror",1988
Open Water,18.653,852,5.5,"Drama, Thriller, Horror",2004
The Assassination of Jesse James by the Coward Robert Ford,18.651,1946,7.1,"Action, Drama, Western",2007
Perfect Stranger,18.648,715,5.8,Thriller,2007
The Hungover Games,18.645,396,4.1,Comedy,2014
Apollo 18,18.64,784,5.3,"Horror, Thriller, Science Fiction",2011
Whindersson Nunes: É de Mim Mesmo,18.637,12,6.8,Comedy,2022
Ash & Dust,18.634,0,0,"Crime, Thriller",2022
The Life of David Gale,18.632,1561,7.4,"Drama, Thriller, Crime",2003
Raging Bull,18.628,3274,8,"Drama, History",1980
How Much Do You Love Me?,18.623,113,5.7,"Comedy, Romance",2005
Air Strike,18.621,178,4.9,"Drama, War, Action, Adventure",2018
Shaft,18.62,1350,6.6,"Action, Crime",2019
The Turning,18.618,758,6,"Horror, Thriller",2020
The Robe,18.618,171,6.8,"Drama, History",1953
The Santa Clause 2,18.617,1003,5.9,"Fantasy, Comedy, Family",2002
La Haine,18.616,2874,8.1,Drama,1995
Iron Man & Hulk: Heroes United,18.615,144,5.7,"Action, Adventure, Animation, Family",2013
Mr. Right,18.614,1100,6.4,"Comedy, Action, Romance, Crime",2016
Logan's Run,18.614,678,6.6,"Action, Science Fiction",1976
Marvel Studios: Assembling a Universe,18.607,125,7.1,"TV Movie, Documentary",2014
Fire and Ice,18.607,169,6.5,"Animation, Fantasy, Science Fiction",1983
Disclosure,18.604,100,8.2,Documentary,2020
The Gambler,18.6,1114,5.9,"Thriller, Crime, Drama",2014
See No Evil,18.6,492,5.4,"Horror, Thriller",2006
Gringo,18.595,596,5.9,"Comedy, Action",2018
V/H/S/2,18.595,775,6.3,"Horror, Thriller",2013
Cartel Land,18.591,295,7.2,"Drama, Documentary",2015
Obsession,18.589,135,6.2,"Romance, Thriller",2015
K: Missing Kings,18.589,34,6.4,"Animation, Fantasy, Action",2014
Kwaidan,18.587,254,7.8,"Fantasy, Horror, Drama",1964
True Grit,18.585,4309,7.3,"Drama, Adventure, Western",2010
Open Season 3,18.58,445,5.7,"Adventure, Animation, Family, Comedy",2010
The Personal History of David Copperfield,18.579,332,6.5,Comedy,2019
Cold Skin,18.578,440,6.2,"Horror, Fantasy, Drama",2017
Finders Keepers,18.578,140,4.7,"Mystery, Thriller, Horror",2014
Creepshow 2,18.574,394,6.2,"Horror, Comedy",1987
Sexology,18.573,4,4.8,Documentary,2016
Scooby-Doo! Mask of the Blue Falcon,18.573,114,7.9,"Animation, Comedy, Fantasy, Adventure, Family",2012
Pyewacket,18.572,232,5.9,"Thriller, Horror, Drama",2017
Live by Night,18.571,1090,6.2,"Crime, Drama, Thriller",2016
Crows Zero II,18.568,145,7.2,"Action, Thriller",2009
The Disappointments Room,18.564,374,4.5,"Horror, Drama, Thriller",2016
Gnome Alone,18.56,193,6.2,"Family, Adventure, Animation, Comedy, Fantasy",2017
Kiss and Cry,18.559,384,7.4,"Romance, Drama, Music, TV Movie",2017
Get Hard,18.559,2224,6,Comedy,2015
Percy,18.558,43,7,Drama,2020
Mommy,18.556,2241,8.3,Drama,2014
The Bride of Frankenstein,18.556,658,7.6,"Drama, Horror, Science Fiction",1935
Piranhaconda,18.554,106,5.2,"Horror, Science Fiction, Comedy",2012
What We Do in the Shadows,18.553,2744,7.6,"Comedy, Horror",2014
Spring Breakers,18.552,3360,5.2,"Drama, Crime",2013
Blue My Mind,18.551,175,6.8,"Fantasy, Drama",2017
A Christmas Carol,18.546,241,7.3,"Drama, Fantasy, TV Movie, Family",1984
The Ouija Exorcism,18.54,24,4.2,Horror,2015
A Matter of Loaf and Death,18.539,360,7.3,"Animation, Comedy, Family",2008
The Girl Next Door 2,18.538,4,8.3,Romance,2018
Hard Boiled,18.538,536,7.6,"Action, Thriller, Crime",1992
25th Hour,18.538,1864,7.4,"Crime, Drama",2002
*batteries not included,18.534,534,6.7,"Science Fiction, Comedy, Family, Fantasy",1987
Sin tetas no hay paraíso,18.531,46,7.2,"Crime, Drama",2010
Notorious,18.531,533,6.9,"Music, Drama, History",2009
Marvel One-Shot: The Consultant,18.524,340,6.5,"Adventure, Fantasy, Science Fiction, Action",2011
X-Cross,18.522,31,6.2,"Action, Horror",2007
Lock Up,18.52,881,6.7,"Action, Crime",1989
Antiporno,18.518,285,6.9,Drama,2017
Forsaken,18.509,257,6,Western,2015
Cake,18.509,783,6.3,Drama,2014
Blue Velvet,18.504,2480,7.6,"Drama, Crime, Mystery, Thriller",1986
Potter's Ground,18.501,28,6.3,"Drama, Thriller, Western",2021
The Idiots,18.501,387,6.5,"Comedy, Drama",1998
The Sand Pebbles,18.499,176,7.2,"Adventure, War",1966
A Letter to Momo,18.496,271,7.5,"Comedy, Fantasy, Animation, Drama, Family",2012
A Christmas Prince,18.495,1272,6.7,"Romance, TV Movie",2017
Magnum Force,18.495,763,7.2,"Drama, Crime, Action",1973
Tapped Out,18.493,45,5.7,"Action, Drama",2014
The Snitch Cartel,18.492,66,7,"Drama, Crime",2012
Middle Men,18.492,229,6.5,"Drama, Comedy, Crime",2009
Dracula's Daughter,18.491,101,6.2,"Drama, Fantasy, Horror",1936
The Guardian,18.487,1170,7.1,"Drama, Action",2006
Dirty Harry,18.486,1781,7.5,"Action, Crime, Thriller",1971
Big Gold Brick,18.483,6,4.1,"Comedy, Fantasy",2022
Stuart Little 3: Call of the Wild,18.482,392,5.3,"Fantasy, Animation, Comedy, Family",2005
A Very Harold & Kumar Christmas,18.48,748,6,Comedy,2011
The Smurfs: A Christmas Carol,18.479,202,6.7,"Comedy, Family, Animation",2011
Revenge,18.479,337,6.6,"Romance, Thriller, Drama",1990
Scared Shrekless,18.478,303,6.4,"Animation, Comedy",2010
Big Fat Liar,18.477,664,5.9,"Family, Comedy, Adventure",2002
Spotlight,18.475,7056,7.8,"Drama, History",2015
Ginger Snaps 2: Unleashed,18.47,234,6.5,"Drama, Horror",2004
LEGO DC Comics Super Heroes: Justice League - Attack of the Legion of Doom!,18.465,85,6.9,"Animation, Action, Adventure, Family, Comedy",2015
Hollow Point,18.464,106,6.8,Action,2019
Just My Luck,18.463,1579,6.1,"Comedy, Drama, Family, Fantasy, Romance",2006
Thoroughbreds,18.461,867,6.4,"Drama, Thriller",2018
Volcano,18.461,1142,5.8,"Science Fiction, Action, Drama, Thriller",1997
The Place Beyond the Pines,18.454,4029,6.9,"Drama, Crime",2013
Once Upon a Time in China,18.449,301,7.2,"Action, Drama",1991
Burning,18.446,1109,7.4,"Mystery, Drama, Thriller",2018
Porno,18.446,32,5.5,Drama,2013
Naruto: The Cross Roads,18.445,15,6.2,Animation,2009
Cyborg X,18.445,53,5.8,"Action, Horror, Science Fiction",2016
Eyes Without a Face,18.445,496,7.6,"Drama, Horror, Thriller",1960
Next,18.445,2374,6,"Action, Science Fiction, Thriller",2007
High Tension,18.433,971,6.7,"Horror, Thriller, Mystery",2003
Bullet Head,18.431,416,4.9,"Drama, Crime, Thriller",2017
The Garden of Sinners: Future Gospel,18.431,37,7.3,"Animation, Science Fiction",2013
2022 Tsunami,18.431,8,4.6,Action,2009
Spartacus,18.425,52,6.8,"Action, Drama",2004
The Professor and the Madman,18.423,838,7.2,"History, Drama, Mystery, Thriller",2019
